county,herd,province
Donegal,38083,Ulster
Mayo,72558,Connaught
Sligo,29787,Connaught
Leitrim,25587,Connaught
Cavan,43367,Ulster
Louth,9400,Leinster
Monaghan,29057,Ulster
Galway,97732,Connaught
Roscommon,50895,Connaught
Longford,24750,Leinster
Meath,30835,Leinster
Westmeath,33631,Leinster
Dublin,3948,Leinster
Kildare,14538,Leinster
Clare,68374,Munster
Offaly,28190,Leinster
Laois,30132,Leinster
Tipperary,50316,Munster
Wicklow,19989,Leinster
Limerick,31934,Munster
Carlow,16412,Leinster
Kilkenny,50316,Leinster
Wexford,29136,Leinster
Waterford,18122,Munster
Kerry,42431,Munster
Cork,65559,Munster
